episode,duration_s,sim_steps,J15_reward,J15_avg_queue,J15_avg_wait,J15_epsilon,J15_loss,J15_NSG,J15_NSLG,J15_EWG,J15_EWLG,J16_reward,J16_avg_queue,J16_avg_wait,J16_epsilon,J16_loss,J16_NSG,J16_NSLG,J16_EWG,J16_EWLG,J17_reward,J17_avg_queue,J17_avg_wait,J17_epsilon,J17_loss,J17_NSG,J17_NSLG,J17_EWG,J17_EWLG,J18_reward,J18_avg_queue,J18_avg_wait,J18_epsilon,J18_loss,J18_NSG,J18_NSLG,J18_EWG,J18_EWLG
1,17.6,3600,-72.56,1.584,43.2,0.9920,0.00074,189,166,171,192,-66.51,1.476,37.1,0.9920,0.00200,158,190,179,191,-67.09,1.479,38.5,0.9920,0.00160,190,164,189,175,-71.69,1.545,44.7,0.9920,0.00252,170,183,203,162
2,38.0,3600,-76.13,1.706,40.9,0.9841,0.00058,176,176,175,191,-97.47,1.828,88.0,0.9841,0.00107,199,161,185,173,-89.44,1.907,57.7,0.9841,0.00089,171,171,182,194,-85.43,1.821,55.2,0.9841,0.00099,183,178,185,172
3,29.9,3600,-56.64,1.250,32.4,0.9762,0.00044,173,183,188,174,-64.77,1.406,39.3,0.9762,0.00101,177,171,182,188,-64.74,1.417,38.1,0.9762,0.00075,178,162,201,177,-54.73,1.267,25.4,0.9762,0.00081,185,165,169,199
4,32.2,3600,-62.73,1.393,35.0,0.9684,0.00045,185,181,184,168,-56.09,1.269,28.9,0.9684,0.00083,178,193,177,170,-55.48,1.256,28.6,0.9684,0.00065,167,164,192,195,-58.75,1.328,30.4,0.9684,0.00089,205,175,165,173
5,30.1,3600,-43.66,1.035,17.8,0.9606,0.00040,191,161,192,174,-67.76,1.481,40.1,0.9606,0.00084,187,187,183,161,-58.06,1.312,30.1,0.9606,0.00065,176,188,187,167,-55.94,1.272,28.2,0.9606,0.00075,202,172,179,165
6,30.5,3600,-53.69,1.216,27.5,0.9529,0.00040,174,157,200,187,-56.07,1.289,26.9,0.9529,0.00073,190,181,174,173,-56.63,1.282,29.1,0.9529,0.00066,179,164,186,189,-66.86,1.409,44.8,0.9529,0.00073,191,174,190,163
7,30.1,3600,-47.58,1.118,20.3,0.9453,0.00037,171,164,204,179,-75.47,1.615,48.2,0.9453,0.00075,179,176,180,183,-63.60,1.403,36.3,0.9453,0.00058,191,188,180,159,-44.93,1.050,19.8,0.9453,0.00078,194,180,183,161
8,30.0,3600,-76.51,1.661,46.4,0.9378,0.00037,173,170,199,176,-54.85,1.217,30.7,0.9378,0.00078,197,174,178,169,-47.81,1.103,22.5,0.9378,0.00053,167,174,204,173,-69.69,1.516,42.0,0.9378,0.00076,183,174,182,179
9,29.9,3600,-51.06,1.198,22.1,0.9303,0.00037,192,169,193,164,-64.50,1.460,33.2,0.9303,0.00091,193,173,176,176,-46.73,1.094,20.4,0.9303,0.00055,187,153,197,181,-49.03,1.133,22.9,0.9303,0.00076,210,177,176,155
10,30.2,3600,-51.43,1.179,24.9,0.9228,0.00038,160,162,234,162,-46.42,1.076,21.4,0.9228,0.00086,199,177,184,158,-51.29,1.159,26.5,0.9228,0.00056,158,163,208,189,-49.06,1.077,28.5,0.9228,0.00089,234,162,160,162
11,30.2,3600,-42.25,0.986,18.8,0.9154,0.00100,174,167,219,158,-54.07,1.221,28.1,0.9154,0.00126,203,157,198,160,-56.31,1.270,29.4,0.9154,0.00093,194,180,179,165,-53.67,1.254,23.7,0.9154,0.00101,197,158,187,176
12,30.4,3600,-61.65,1.393,31.9,0.9081,0.00080,206,167,196,149,-62.09,1.407,31.8,0.9081,0.00100,190,153,198,177,-53.22,1.198,28.1,0.9081,0.00075,191,156,219,152,-56.03,1.310,24.6,0.9081,0.00083,193,164,189,172
13,30.5,3600,-42.21,0.984,18.8,0.9008,0.00077,192,166,211,149,-43.94,1.016,20.5,0.9008,0.00096,201,158,210,149,-49.26,1.124,24.4,0.9008,0.00073,185,160,204,169,-50.41,1.134,26.6,0.9008,0.00079,192,170,200,156
14,31.0,3600,-44.71,1.049,19.3,0.8936,0.00073,186,181,201,150,-31.52,0.738,13.7,0.8936,0.00087,206,149,186,177,-42.28,0.971,20.3,0.8936,0.00069,187,150,225,156,-51.59,1.169,26.4,0.8936,0.00077,194,164,183,177
15,30.8,3600,-39.23,0.909,18.0,0.8865,0.00071,215,156,216,131,-34.57,0.813,14.7,0.8865,0.00084,208,169,192,149,-40.52,0.948,17.8,0.8865,0.00066,193,141,203,181,-40.03,0.919,19.3,0.8865,0.00075,201,152,200,165
16,30.8,3600,-64.97,1.429,37.5,0.8794,0.00071,187,165,199,167,-39.76,0.936,16.9,0.8794,0.00079,203,166,196,153,-49.00,1.144,21.7,0.8794,0.00066,190,157,200,171,-54.10,1.211,29.1,0.8794,0.00071,202,144,201,171
17,30.5,3600,-57.34,1.305,28.8,0.8724,0.00071,185,169,214,150,-46.89,1.088,21.5,0.8724,0.00081,200,149,183,186,-39.55,0.930,16.8,0.8724,0.00063,198,166,198,156,-43.02,1.001,19.4,0.8724,0.00071,206,171,210,131
18,31.1,3600,-35.59,0.840,14.8,0.8654,0.00071,184,151,231,152,-42.15,0.981,19.0,0.8654,0.00079,210,169,183,156,-41.80,0.973,18.9,0.8654,0.00061,188,157,211,162,-27.57,0.673,9.3,0.8654,0.00070,226,146,201,145
19,32.4,3600,-60.47,1.348,33.2,0.8585,0.00072,192,155,203,168,-42.28,0.994,18.1,0.8585,0.00077,206,155,198,159,-52.14,1.128,32.0,0.8585,0.00061,208,144,208,158,-33.30,0.803,12.2,0.8585,0.00065,209,156,199,154
20,31.2,3600,-41.88,0.948,21.5,0.8516,0.00071,195,146,224,153,-36.59,0.863,15.4,0.8516,0.00073,215,161,196,146,-40.64,0.958,17.1,0.8516,0.00064,185,168,223,142,-57.63,1.297,30.4,0.8516,0.00064,200,154,196,168
21,30.6,3600,-40.66,0.941,18.8,0.8448,0.00149,187,153,203,175,-42.21,0.983,19.0,0.8448,0.00162,175,161,203,179,-35.65,0.847,14.3,0.8448,0.00144,232,137,194,155,-48.37,1.128,21.6,0.8448,0.00158,214,156,178,170
22,30.3,3600,-31.92,0.768,11.8,0.8380,0.00122,176,164,215,163,-30.15,0.716,12.2,0.8380,0.00134,226,147,195,150,-33.65,0.803,13.2,0.8380,0.00125,209,152,217,140,-34.09,0.813,13.4,0.8380,0.00131,213,150,198,157
23,30.5,3600,-29.67,0.708,11.7,0.8313,0.00112,210,151,225,132,-44.11,1.020,20.5,0.8313,0.00136,224,167,185,142,-47.04,1.091,21.6,0.8313,0.00118,199,139,212,168,-46.74,1.058,24.0,0.8313,0.00128,221,140,193,164
24,30.7,3600,-33.43,0.791,13.7,0.8247,0.00112,210,162,208,138,-31.90,0.756,13.0,0.8247,0.00130,224,135,204,155,-25.02,0.614,8.2,0.8247,0.00116,197,151,212,158,-41.39,0.954,19.6,0.8247,0.00125,222,149,191,156
